site_code,quadrat_num,PFT,summaryType,height
BABBAGE,80m,NON VEGETATED,max,0.152999997
BABBAGE,80m,NON VEGETATED,mean,0.034766667
BABBAGE,80m,SHADOW,max,0.135000005
BABBAGE,80m,SHADOW,mean,0.017573705
BABBAGE,90m,BRYOPHYTES,max,0.109999999
BABBAGE,90m,BRYOPHYTES,mean,0.058695652
BABBAGE,90m,DECIDUOUS SHRUBS,max,0.145999998
BABBAGE,90m,DECIDUOUS SHRUBS,mean,0.068463054
BABBAGE,90m,EVERGREEN SHRUBS,max,0.141000003
BABBAGE,90m,EVERGREEN SHRUBS,mean,0.067340557
BABBAGE,90m,FORBS,max,0.128999993
BABBAGE,90m,FORBS,mean,0.069421053
BABBAGE,90m,GRAMINOIDS,max,0.129999995
BABBAGE,90m,GRAMINOIDS,mean,0.084004975
BABBAGE,90m,NON VEGETATED,max,0.109999999
BABBAGE,90m,NON VEGETATED,mean,0.051722222
BABBAGE,90m,SHADOW,max,0.079000004
BABBAGE,90m,SHADOW,mean,0.054
BLOWRIVER,0m,BRYOPHYTES,max,0.202000007
BLOWRIVER,0m,BRYOPHYTES,mean,0.083526315
BLOWRIVER,0m,DECIDUOUS SHRUBS,max,0.240999997
BLOWRIVER,0m,DECIDUOUS SHRUBS,mean,0.1575
BLOWRIVER,0m,EVERGREEN SHRUBS,max,0.233999997
BLOWRIVER,0m,EVERGREEN SHRUBS,mean,0.101473451
BLOWRIVER,0m,FORBS,max,0.261000007
BLOWRIVER,0m,FORBS,mean,0.143588236
BLOWRIVER,0m,GRAMINOIDS,max,0.229000002
BLOWRIVER,0m,GRAMINOIDS,mean,0.091573249
BLOWRIVER,0m,NON VEGETATED,max,0.082000002
BLOWRIVER,0m,NON VEGETATED,mean,0.028714286
BLOWRIVER,10m,BRYOPHYTES,max,0.129999995
BLOWRIVER,10m,BRYOPHYTES,mean,0.0124875
BLOWRIVER,10m,DECIDUOUS SHRUBS,max,0.098999999
BLOWRIVER,10m,DECIDUOUS SHRUBS,mean,0.058199999
BLOWRIVER,10m,EVERGREEN SHRUBS,max,0.171000004
BLOWRIVER,10m,EVERGREEN SHRUBS,mean,0.074227642
BLOWRIVER,10m,FORBS,max,0.050000001
BLOWRIVER,10m,FORBS,mean,0.04625
BLOWRIVER,10m,GRAMINOIDS,max,0.174999997
BLOWRIVER,10m,GRAMINOIDS,mean,0.065033582
BLOWRIVER,10m,NON VEGETATED,max,0.171000004
BLOWRIVER,10m,NON VEGETATED,mean,0.055666668
BLOWRIVER,20m,BRYOPHYTES,max,0.068000004
BLOWRIVER,20m,BRYOPHYTES,mean,0.054357144
BLOWRIVER,20m,DECIDUOUS SHRUBS,max,0.143000007
BLOWRIVER,20m,DECIDUOUS SHRUBS,mean,0.11156
BLOWRIVER,20m,EVERGREEN SHRUBS,max,0.128000006
BLOWRIVER,20m,EVERGREEN SHRUBS,mean,0.078125
BLOWRIVER,20m,FORBS,max,0.142000005
BLOWRIVER,20m,FORBS,mean,0.117428573
BLOWRIVER,20m,GRAMINOIDS,max,0.172999993
BLOWRIVER,20m,GRAMINOIDS,mean,0.075598441
BLOWRIVER,20m,NON VEGETATED,max,0.097999997
BLOWRIVER,20m,NON VEGETATED,mean,0.04238
BLOWRIVER,30m,BRYOPHYTES,max,0.037999999
BLOWRIVER,30m,BRYOPHYTES,mean,0.030666666
BLOWRIVER,30m,DECIDUOUS SHRUBS,max,0.090999998
BLOWRIVER,30m,DECIDUOUS SHRUBS,mean,0.039538462
BLOWRIVER,30m,EVERGREEN SHRUBS,max,0.075999998
BLOWRIVER,30m,EVERGREEN SHRUBS,mean,0.035294118
BLOWRIVER,30m,FORBS,max,0.128000006
BLOWRIVER,30m,FORBS,mean,0.077153847
BLOWRIVER,30m,GRAMINOIDS,max,0.151999995
BLOWRIVER,30m,GRAMINOIDS,mean,0.065359206
BLOWRIVER,30m,NON VEGETATED,max,0.150999993
BLOWRIVER,30m,NON VEGETATED,mean,0.058915385
BLOWRIVER,40m,BRYOPHYTES,max,0.451999992
BLOWRIVER,40m,BRYOPHYTES,mean,0.342700003
BLOWRIVER,40m,DECIDUOUS SHRUBS,max,0.48300001
BLOWRIVER,40m,DECIDUOUS SHRUBS,mean,0.367078239
BLOWRIVER,40m,EVERGREEN SHRUBS,max,0.375999987
BLOWRIVER,40m,EVERGREEN SHRUBS,mean,0.217272727
BLOWRIVER,40m,FORBS,max,0.48300001
BLOWRIVER,40m,FORBS,mean,0.351727273
BLOWRIVER,40m,GRAMINOIDS,max,0.456
BLOWRIVER,40m,GRAMINOIDS,mean,0.268909836
BLOWRIVER,50m,DECIDUOUS SHRUBS,max,1.055999994
BLOWRIVER,50m,DECIDUOUS SHRUBS,mean,0.861276596
BLOWRIVER,50m,GRAMINOIDS,max,1.055999994
BLOWRIVER,50m,GRAMINOIDS,mean,0.665482754
BLOWRIVER,60m,DECIDUOUS SHRUBS,max,0.420689344
BLOWRIVER,60m,DECIDUOUS SHRUBS,mean,0.138194022
BLOWRIVER,60m,FORBS,max,0
BLOWRIVER,60m,FORBS,mean,0
BLOWRIVER,60m,GRAMINOIDS,max,0.333301544
BLOWRIVER,60m,GRAMINOIDS,mean,0.162234838
BLOWRIVER,70m,DECIDUOUS SHRUBS,max,0.564999998
BLOWRIVER,70m,DECIDUOUS SHRUBS,mean,0.188089625
BLOWRIVER,70m,FORBS,max,0.150000006
BLOWRIVER,70m,FORBS,mean,0.117000001
BLOWRIVER,70m,GRAMINOIDS,max,0.556999981
BLOWRIVER,70m,GRAMINOIDS,mean,0.147798021
BLOWRIVER,70m,NON VEGETATED,max,0.138999999
BLOWRIVER,70m,NON VEGETATED,mean,0.09725
BLOWRIVER,80m,BRYOPHYTES,max,0.064999998
BLOWRIVER,80m,BRYOPHYTES,mean,0.064999998
BLOWRIVER,80m,DECIDUOUS SHRUBS,max,0.143999994
BLOWRIVER,80m,DECIDUOUS SHRUBS,mean,0.106307189
BLOWRIVER,80m,FORBS,max,0.136000007
BLOWRIVER,80m,FORBS,mean,0.107809524
BLOWRIVER,80m,GRAMINOIDS,max,0.143999994
BLOWRIVER,80m,GRAMINOIDS,mean,0.080847491
BLOWRIVER,90m,BRYOPHYTES,max,0.742999971
BLOWRIVER,90m,BRYOPHYTES,mean,0.278555551
BLOWRIVER,90m,DECIDUOUS SHRUBS,max,0.505999982
BLOWRIVER,90m,DECIDUOUS SHRUBS,mean,0.18599095
BLOWRIVER,90m,EVERGREEN SHRUBS,max,0.092
BLOWRIVER,90m,EVERGREEN SHRUBS,mean,0.019705882
BLOWRIVER,90m,FORBS,max,0.296999991
BLOWRIVER,90m,FORBS,mean,0.107666667
BLOWRIVER,90m,GRAMINOIDS,max,0.542999983
BLOWRIVER,90m,GRAMINOIDS,mean,0.085614963
BROWNSCREEK,0m,BRYOPHYTES,max,0.018999999
BROWNSCREEK,0m,BRYOPHYTES,mean,0.0076875
BROWNSCREEK,0m,EVERGREEN SHRUBS,max,0.081
BROWNSCREEK,0m,EVERGREEN SHRUBS,mean,0.017537594
BROWNSCREEK,0m,GRAMINOIDS,max,0.081
BROWNSCREEK,0m,GRAMINOIDS,mean,0.041600001
BROWNSCREEK,0m,LICHENS,max,0.032000002
BROWNSCREEK,0m,LICHENS,mean,0.013378049
